P\-(i-max),[dP\-(c) / dt]\-(max),?\-(1.5),mn height
1029.14145,13716.864,283.70188,648.833333
1011.58963,12129.4688,266.31811,631.055556
1024.95704,14072.60865,275.59651,640.972222
1047.5608,9047.76415,257.55696,640.194444
1015.72145,10434.27874,263.22405,636.722222
1023.0131,12048.5012,264.40052,640.944444
1057.5267,9827.04555,253.96898,643.277778
1024.95704,14133.328,270.47897,646.666667
963.95106,10216.67752,287.49294,627
1045.1305,13966.33946,265.53168,634.083333
1058.98427,12584.89091,250.28444,644.861111
1072.10925,14462.24696,234.90081,645.944444
1097.75088,13240.584,187.57127,641.777778
1081.58879,12200.30116,211.65198,646.416667
1013.29039,10722.70755,271.55583,639.805556
937.66221,7747.488,325.16529,623.027778
1032.00551,15428.76355,239.22599,641.638889
1055.33882,15474.30862,259.02575,641.388889
1007.45782,13774.05412,272.44664,629.5
1041.72823,13404.64817,253.89023,642.444444
1072.35243,16142.26116,232.15098,645.833333
1125.82433,15813.33425,116.75039,656.722222
1121.69252,16628.04136,135.90651,654.25
1089.36605,13343.93041,162.39594,652
1110.51147,18176.48479,158.54121,655.305556
1052.01126,13256.46,210.57007,645.055556
1114.40086,19249.26104,100.71019,657.583333
1111.9698,15474.30227,143.72723,664.972222
1091.79711,13910.67821,172.85899,648.777778
1032.2487,11977.65773,214.47525,635.166667
1085.23423,11805.60793,189.61932,660.583333
1106.13724,14538.15329,174.55499,648.861111
1086.93575,17442.73894,174.68637,649.833333
1118.04631,16410.45919,127.97254,658.333333
1064.57517,17802.01917,189.66769,643.722222
1080.13045,13121.2711,176.06741,653
1074.05395,11638.62098,184.92424,652.694444
1095.19937,17493.3421,192.94658,648.666667
1074.29713,17331.41801,187.03638,643.555556
1092.76907,15135.25918,149.4808,635.972222
1135.86723,15367.968,108.53113,669.472222
1152.07354,15383.22484,5.95995,681.972222
1116.10238,17523.70971,93.46681,663.861111
1096.90089,16172.61131,66.57646,654.138889
1128.98418,16147.32084,27.56659,679.583333
1090.82438,14705.13389,117.03127,659.722222
1104.43573,20554.80961,43.91531,665.361111
1119.50464,16076.4726,52.48233,657.194444
1140.65007,23763.01581,64.93288,669.833333
1146.24021,20423.24679,66.83796,674.305556
1128.49782,15843.70822,20.58073,671.055556
1106.62284,15236.47186,69.12277,664.472222
1119.99101,21091.19615,91.2443,660.833333
1120.23419,19917.21675,96.48674,666.472222
1128.741,20549.74517,22.16499,673.055556
1127.52585,15190.93472,32.50399,674.333333
1116.10238,18475.03932,100.37523,662.833333
1106.37966,23312.65338,35.60435,659.333333
1157.66368,20792.63844,0,690.611111
1111.24102,20144.92939,123.87012,672.5
